Country Name,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Eastern Europe (not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373500,958888,88323,,,,,,,,,,,,,,,167036,236702,253912,102000
Ecuador,,,,,,,16398495,28009852,7618270,8245559,15370283,14263405,25970766,24492113,5405361,65706225,28852287,20318052,29779663,33151691,21146558,35490816,12485672,11346996,11058879,1337351,,,3856,1329875,34080178,46642472,30383054,1190001,7777666,9440408,10236651,8919100,12724633,12284704,8086116,947667,1147384,1060406,5778981,4298282,9951425,7415494,721739,406837,764458,3902019,6784897,13182604,16092716,25329188,30939162,27797955,21000332,23977862,26135803,23295188,21460957,21240426,15484561,7173000
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519490,3941397549,2047008,1210200549,1855873789,2614019303,2595950614,2164724605,2240481836,2280173585,2209014395,2126505179,2042293635,1976508258,1925941795,1885632082,1884482933,1863452853,1871546795,1745377495,1721443104,1762249792,1704695498,1623138021,1598697799,1569968906,1547718821,1472333277,1431412257,1392100496,1347467685,1339253168,1327583106,1298675000
El Salvador,,,,,,,,,,,,,,,512472,1310997,6096391,8622983,7140153,3007047,4619177,1786178,2462626,1880331,2737440,1956327,1531510,2095821,4365244,18684566,3311948,1739283,8516,10508,14348369,78131683,137305228,101433827,41965834,250675315,2597053,2363036,138305585,2336489,127753767,101576708,33448626,16361548,605282,561081,728800,830629,1034178,2296821,1133749,11193962,3566761,5561999,15129398,11207106,19536964,10874221,8638878,12553453,6474249,10230000
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57590,110331,102587,143530,70142,148894,137482,147052,668200,192823,105063,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399863,916425,6815027,2893159,1860993,572250,34511,193571,417682,458684,331121,272928,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90266,801846,291452,2033023,6992121,3975591,15050705,7006476,6283832,8662002,8950674,12459118,8669022,6942606,8171043,5430701,2671527,2842485,3728123,3838000
Ethiopia,,,,,,,,,35286443,7544686,34142789,72343217,47612026,54765971,37965642,106864326,108307594,49541037,49441207,57618894,88987576,98661978,62998266,61780865,56371341,60334401,52282727,49105048,84216042,122282160,10671834,2554382,,,,,,,,,,,,,15759,,,231668,1254054,5010002,6733543,1756226,1689290,4452860,194284,,3986404,5411512,3547219,8667738,2829802,2533758,1473046,1510778,342628,650000
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98510,151981,189533,149277,143639,,,,,,,,,,,,671318,547063,,,,268889,586795,800659,,,,,43000
Finland,,,,,,,,,,,,,,,,,5948,23496,5805,34236,61440,37889,120256,60011,14233,63253,47455,103344,53987,48867,58619,36361,105033,63046,103799,81307,84328,82748,68392,55204,91724,110357,78076,116007,58310,22774,,,14180,20828,19071,,,,,,,,,,,,,,,
France,,,,,3600090509,9572731507,10233730533,1450875333,1128189664,1489003642,1771513819,295968885,1063285133,599553336,673046695,152382395,195447328,171837029,3517832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3807329,,,,2607,,,12285,,7045,,5499,,33407,38078,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6513173,6060218,5677484,,123110,5823343,5471065,2186923,5879776,253938,237404,245237,215559,93133,230088,487371,167214,166511,,,,,,,60075,163599,192871,290139,329947,499231,638988,617416,205663,357112,999333,530000
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110408,95321,101598,100141,151953,234815,933749,321109,2024199,141796,,,,,,,,58967,81865,214876,216068,79186,110024,124233,173925,120328,365000
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89331,113859,411397,1353618,7615674,12085292,4651310,12096331,133602880,10966889,15884436,15619158,15386844,11773107,10468963,13932501,18157266,17965000
Germany,,,,,,1926489498,1445206520,1278467690,1660782948,2061390,71024770,400150,51910204,16381610,186649661,5755158,2063851,1938409,1741501,251063,279273,254395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698641,22744,21996,240344,25055,22641,,1406000
Ghana,,,,,,,,,,,,,,,,,29738,152723,,,,135317,245740,250044,218236,180723,172564,227357,142680,244334,351711,251499,661427,564791,453818,437300,606753,504371,450245,513396,381285,366104,276662,316978,272638,1823468,680692,1307476,728829,425582,350096,325029,4738994,2227734,1546602,2896076,1882025,1901553,1946802,1502241,1418750,1755044,1678709,1658974,3950424,2810000
Greece,,,1578869699,1221893297,807936019,1189097268,1221994480,800360520,401676770,114015466,201581760,773508983,265296542,749650147,800194685,721565728,605683902,566714457,365535206,468716979,571833982,504037784,350853650,638447284,324147071,455160121,477455750,330337791,260295015,300181707,613286880,443804951,496283050,448995666,354523488,392260384,581438492,554195861,952668118,922593063,776732959,602898176,584020093,523979605,550134683,532258185,518353073,481368899,411656786,348511462,357098030,168802526,2711373,58150993,21363723,6514610,883274,9098609,666938,1166767,34925018,886174,748581,360199,148880,98000
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113986,115928,134889,133129,106931,117641,1046426,995999,867143,360533,114854,109693,559882,205985,353972,329793,568792,339686,363629,364780,676332,297946,299147,286276,86650,338587,2019060,350000
Guatemala,,,,,,,,,,,3984888,1200449,181701,1389842,3446985,685567,21709100,17005134,15894097,8958374,8154774,11723823,5908211,12132134,6537595,30189791,9301226,15786866,9359052,9947882,6575048,1502934,2839,5254,,,,,,831739,642069,860082,16046401,660099,5224249,605798,310751,221532,198514,,,1268014,2172699,3004638,1717879,1808330,1356237,1386170,1594546,1256606,2052239,2489962,3099556,3325152,9340703,20022000
Guinea,,,,,,,,,,,,,,,,,,,,4827251,714939,,,75013,,,,,,,,,,,,,,94570,170979,5730163,244598,322312,257992,274497,961325,1381645,492762,415554,124780,215221,47678,73566,92455,217690,228795,4063748,326775,252818,565958,673222,633489,514870,366435,244935,1595873,48000
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22625,31523,24697,7361,,71819,81471,89865,783243,628572,369941,2755401,144631,104139,119877,159171,84531,,28120,68687,84765,92700,7045,98936,129777,102547,129453,305655,,10000
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28795,49255,,,,,,,,56177,113942,144792,272247,134687,401862,238087,371142,411916,410297,679822,640036,849950,540126,579972,452021,462528,279785,445618,2497312,836000
Haiti,,,,,,,,,,700873,7313442,1742588,1109005,858614,10200635,2664091,1570192,5874,,,,,,,,,,,,48867,325659,1796855,1788407,979847,280015,900970,1053077,1258958,1327937,1266009,417255,444930,,163391,784819,2534028,,,,12888267,914065,668784,1241542,599624,1460964,3652877,800966,701871,787879,611814,1436347,1382244,1312274,3227384,1837549,1927000
Honduras,,,,,,,,,3435147,659645,261194,851932,344606,389156,2129200,871994,8891810,5051612,2356831,4924253,7596228,4860569,5123936,4170734,2087476,3867474,2700634,2426523,2560532,14544851,11466441,9569085,9078297,5900095,9576040,19638950,42213588,19272506,1728787,123980562,32716757,6465504,69766371,1851218,33283902,50666891,9177507,2448600,772907,451270,681121,961711,2561545,2664963,1160591,1549819,2038538,2308229,5579736,3875578,3017869,3905320,5859822,4258582,4739693,10263000
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379573,948530,11509553,10918254,1105375,5767735,14959998,23704214,10742395,9456003,12956787,14482501,25026586,10543024,10258253,4574096,4076231,2235147,2172515,2269913,2075000
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51512,,49912,9656,,16454,17732,41795,40483,48560,38537,30552,32678,12608,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,128118,595361,38124749,349248452,239438940,168697030,43125350,,324167,355062,370053,682230,116481,,863794,335087,810890,606022,877171,1192628,634862,10987,168657,273858,245070,539158,544950,339829,442999,485271,414473,343134,458727,524149,215529,288813,486321,540377,233780,314151,625032,621926,2225998,1203896,1589849,9443309,1398954,1602292,1393704,1452117,1294034,1644000
Indonesia,,,,,31840036,,106947,3151108,83108,6871,,,18797,116549102,74906339,107020683,35662402,49388314,8962924,707540,,13542477,25034086,27144774,38575608,158625168,134794439,82282683,75485554,69293107,172693525,119086323,158728253,94288565,80460943,70847011,87076323,53615079,89731653,62862502,37623101,3195091,9613583,2691047,2822513,40914907,3144502,,,,786014,140445,628696,633516,,,497533,332275,699815,9807213,7518278,9775049,16231695,20498416,27174053,23252000
Iran,,,,,92289959,195082098,207462355,144215727,177263301,106498265,153977416,532257360,657163758,522531355,520403219,352532000,265570697,356326583,214355524,473207579,862808609,1069341474,637652875,635046686,12301876,9397600,58607215,1401348,7712,,,,,,,,,,,,,,,,,,,,,,,,,,,,12285,14447,,,,,,,,
Iraq,,,,,,,,,,72114284,40177048,142950300,62499008,4033632,158622,282646,422287,211463,435375,952897,1066823,530441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3401434,,,193006,,1228476,47805499,1306870005,1703853539,6016358606,4425598704,4561083045,2704606700,1080390660,963736000
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3503,,14705,,16701,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,2470831,3050429,6014,78509623,78123760,,73607025,502691552,37888624,130712644,425074758,142327910,2462352006,1294233687,1240130862,9573704648,1047145488,5536197022,3030109246,2838741887,10507738508,2413924857,3076483092,2879508048,3349341649,3229602406,2576181230,3098119121,3153049908,3055164179,2941034483,2939186065,2796868245,2760147914,3061184009,2556318949,2506331959,2466467231,2412290914,2379517383,2450052689,3631754026,2483600907,2531990921,3718302866,2542697869,2537536359,2483170644,2501443111,2485820800,2452432274,2856324604,2995119616
Italy,,,,,339415876,2990947272,2848347335,2973946059,1758566911,641037235,115809555,128267383,604789902,1082156061,994031157,1124324563,385624996,996424508,67837260,4987019,55430122,151554,,,,,,47951727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52791,10682,68902,308742,,937000
Jamaica,,,,,,,,,,,,,,,,,,3183690,75465,,2792731,,,,,,,,,,,,,,,3595090,2206937,330994,381853,14054909,510778,548280,473550,11953671,7759940,3074539,4681979,1224944,1738413,656771,2279713,1389733,2349685,2342444,1757503,2019385,2019614,2127284,2113536,3111379,3065161,2455779,2044100,2050047,2668627,4013000
Japan,,,,,,,,643526355,497923228,1056118671,1397054888,889236186,579364240,256064578,826782225,393485633,983487674,277368719,46608365,103648961,9338892,2343682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8352,,,
Jordan,,,,,,,,,,,,,73883539,160604,32718903,23910667,18967211,27031996,30482068,51804510,124946778,77931488,1971147,70947478,967830,264687027,242172693,227919517,180047026,349963003,439026937,386875258,360778545,290236872,191105603,96755393,117169239,103963565,221847089,168975407,149429483,3389529,47838779,19389587,110093757,32028350,30460979,13756732,19609745,46550746,268095439,83889474,92363461,208487007,221184969,95580499,125415089,772410801,253367039,349463834,232351021,225187178,314570003,245045503,309764633,319243953
